ID,term,category,appliesTo,definition,category2,dataSource
2166,rhizomatous,architecture,plant,Having rhizomes.,architecture,
2167,rhizome,structure,,"An underground, usually horizontal stem, often superficially resembling a root but easily distinguished by the presence of nodes, from which it branches exogenously to produce the aboveground portion(s) of the shoot.",STRUCTURE,
2168,rhizophore,structure,,A stem branch that bears no leaves and from which roots eventually arise; esp. in Selaginellaceae.,STRUCTURE,
2169,rhombate,shape,,"Broadest at the middle and more or less regularly attenuate to either end, the sides angled at the middle and more or less straight from there to either end.",shape,
2170,rhombic,shape,,"Broadest at the middle and more or less regularly attenuate to either end, the sides angled at the middle and more or less straight from there to either end.",shape,
2171,rhomboid,shape,,"Transversely square, broadest and longitudinally angular at the middle, regularly attenuate to angular ends, all faces essentially plane; like the stylized shape of a diamond.",shape,
#,rhytidomal,insertion,,"Within, upon, or otherwise directly associated with the bark.",shape,q
2173,rhytidomal,position,,"Within, upon, or otherwise directly associated with the bark.",shape,q
2174,rib,structure,,"A primary vein of a laminar structure, having a longitudinal course, either medial or lateral, often prominent.  See also secondary vein, tertiary vein, veinlet.",STRUCTURE,
2175,ribbed,architecture,,Having one or more ribs (costae).,architecture,
2176,ribbed,shape,,"Having two or more prominent, elongate, relatively narrow, essentially parallel protrusions that extend over all or most of its length or circumference.",architecture,
2177,ridge,FEATURE,,"A very narrow, elongate, relatively low protrusion; esp. on fruits in Apiaceae (Umbelliferae).",FEATURE,
2178,ridged,shape,,Having one or more ridges; esp. fruits of Apiaceae (Umbelliferae).,shape,
2179,rigent,texture,,Strongly resisting deformation over its length.,texture,
2180,rightward,orientation,,"Directed to the right, relative to the direction of growth along an explicit or implicit axis of reference.  See also leftward (sinistrorse).",orientation,
2181,rigid,texture,,Strongly resisting deformation over its length.,texture,
2182,ring-porous,porosity,,"Heterogeneously porous, with macroscopically distinct concentric seasonal growth increments (rings), each with numerous large vessels toward the inside and fewer and smaller ones toward the outside.",porosity,
2183,ring-shaped,shape,,More or less evenly tubular in a closed circle; like a ring or doughnut.,shape,
2184,ringed,relief,bark,"Fissured, mainly horizontally, with at least some of the fissures individually encircling the stem more or less completely.",relief,
2185,ringent,architecture,corolla,"Bilabiate with the upper lip inwardly arcuate, the lower lip prominent and appressed to the upper at the level of the throat or junction of tube and limb, which is thus normally occluded but which gapes, resembling an open mouth, when the whole is compres",architecture,
2186,root,structure,,"Collectively, all those portions of a plant body that are anatomically distinct from the shoot, the component axes not differentiated into nodes and internodes, and branching endogenously.",STRUCTURE,
2187,root,structure,,"A vascularized, primary or higher-order (branch) axis that is not differentiated into nodes and internodes and that branches endogenously, together with any non-axial structures borne from it; usually growing below ground level, but sometimes structurally",STRUCTURE,
2188,rough,relief,,"Having small, stout, stiff, more or less acute protrusions.",relief,
2189,round,shape,,Circular.,shape,
2190,rounded,shape,,Convex overall and more or less regularly curved.,shape,
2192,rubiaceous,architecture,stomate,"Having one or more subsidiary cells to either side, all oriented parallel to its long axis.",architecture,
